resnet_weight,vit_weight,kappa,accuracy
0.6,0.4,0.864003203936649,0.7388026607538802
0.55,0.45,0.8620138837740297,0.7401330376940133
0.65,0.35,0.860804375069163,0.7352549889135255
0.7,0.3,0.8594704858435585,0.7343680709534368
0.75,0.25,0.857298212303553,0.7317073170731707
0.85,0.15,0.8566269795666628,0.7303769401330377
0.8,0.2,0.8565845114155478,0.7330376940133038
0.9,0.1,0.8563647832578196,0.7290465631929046
0.5,0.5,0.8558727072613401,0.7379157427937916
0.95,0.05,0.8554378644197437,0.728159645232816
1.0,0.0,0.8548181452515691,0.7272727272727273
0.4,0.6,0.8528604698526406,0.7299334811529934
0.45,0.55,0.8525466366985202,0.7299334811529934
0.35,0.65,0.8496425877805022,0.7241685144124168
0.3,0.7,0.848993469812735,0.720620842572062
0.25,0.75,0.8488128835811741,0.7179600886917961
0.2,0.8,0.8459104441235713,0.7121951219512195
0.15,0.85,0.8442251134041174,0.7082039911308204
0.1,0.9,0.8438534616857575,0.7059866962305986
0.05,0.95,0.8420282796150708,0.7011086474501108
0.0,1.0,0.8398162673928602,0.6980044345898004
